time,value
1612854900.0,17.8
1612855800.0,17.7
1612856700.0,18.0
1612857600.0,18.1
1612858500.0,17.9
1612859400.0,17.8
1612860300.0,17.7
1612861200.0,17.5
1612862100.0,17.7
1612863000.0,17.5
1612863900.0,17.5
1612864800.0,17.3
1612865700.0,17.5
1612866600.0,17.6
1612867500.0,17.8
1612868400.0,17.6
1612869300.0,17.7
1612870200.0,17.8
1612871100.0,18.1
1612872000.0,18.0
1612872900.0,18.2
1612873800.0,18.2
1612874700.0,18.2
1612875600.0,18.3
1612876500.0,18.4
1612877400.0,18.4
1612878300.0,18.6
1612879200.0,18.7
1612880100.0,18.6
1612881000.0,18.6
1612881900.0,18.5
1612882800.0,18.6
1612883700.0,18.7
1612884600.0,18.7
1612885500.0,18.2
1612886400.0,18.1
1612887300.0,18.0
1612888200.0,17.9
1612889100.0,18.0
1612890000.0,17.7
1612890900.0,18.0
1612891800.0,17.7
1612892700.0,17.8
1612893600.0,17.7
1612894500.0,17.8
1612895400.0,17.4
1612896300.0,17.4
1612897200.0,17.6
1612898100.0,17.3
1612899000.0,17.2
1612899900.0,16.8
1612900800.0,17.2
1612901700.0,17.7
1612902600.0,17.3
1612903500.0,17.8
1612904400.0,17.6
1612905300.0,18.2
1612906200.0,17.9
1612907100.0,18.5
1612908000.0,17.7
1612908900.0,17.9
1612909800.0,18.1
1612910700.0,18.5
1612911600.0,18.4
1612912500.0,17.6
1612913400.0,17.9
1612914300.0,18.1
1612915200.0,17.6
1612916100.0,17.6
1612917000.0,18.0
1612917900.0,18.0
1612918800.0,18.1
1612919700.0,18.3
1612920600.0,18.3
1612921500.0,18.3
1612922400.0,18.3
1612923300.0,18.3
1612924200.0,18.4
1612925100.0,18.4
1612926000.0,18.4
1612926900.0,18.4
1612927800.0,18.5
1612928700.0,18.4
1612929600.0,18.4
1612930500.0,18.4
1612931400.0,18.5
1612932300.0,18.4
1612933200.0,18.7
1612934100.0,19.7
1612935000.0,19.7
1612935900.0,19.5
1612936800.0,19.3
1612937700.0,18.8
1612938600.0,18.6
1612939500.0,18.2
1612940400.0,17.8
1612941300.0,17.3
1612942200.0,17.2
1612943100.0,17.5
1612944000.0,17.8
1612944900.0,17.8
1612945800.0,17.6
1612946700.0,17.6
1612947600.0,17.5
1612948500.0,17.7
1612949400.0,17.9
1612950300.0,17.7
1612951200.0,17.8
1612952100.0,18.0
1612953000.0,18.0
1612953900.0,18.0
1612954800.0,18.1
1612955700.0,18.1
1612956600.0,18.1
1612957500.0,17.8
1612958400.0,18.0
1612959300.0,18.0
1612960200.0,17.8
1612961100.0,17.9
1612962000.0,18.0
1612962900.0,18.2
1612963800.0,18.3
1612964700.0,18.4
1612965600.0,18.5
1612966500.0,18.6
1612967400.0,18.5
1612968300.0,18.5
1612969200.0,18.5
1612970100.0,18.6
1612971000.0,18.4
1612971900.0,18.4
1612972800.0,18.4
1612973700.0,18.6
1612974600.0,18.3
1612975500.0,18.1
1612976400.0,18.1
1612977300.0,18.0
1612978200.0,17.9
1612979100.0,17.9
1612980000.0,17.9
1612980900.0,18.1
1612981800.0,18.0
1612982700.0,17.7
1612983600.0,17.7
1612984500.0,17.5
1612985400.0,17.3
1612986300.0,17.2
1612987200.0,17.3
1612988100.0,17.6
1612989000.0,17.5
1612989900.0,17.8
1612990800.0,17.6
1612991700.0,18.1
1612992600.0,17.7
1612993500.0,18.2
1612994400.0,18.2
1612995300.0,17.7
1612996200.0,18.0
1612997100.0,18.2
1612998000.0,18.3
1612998900.0,18.0
1612999800.0,18.0
1613000700.0,18.2
1613001600.0,18.2
1613002500.0,18.5
1613003400.0,18.5
1613004300.0,18.5
1613005200.0,18.6
1613006100.0,18.7
1613007000.0,18.7
1613007900.0,18.7
1613008800.0,18.7
1613009700.0,18.7
1613010600.0,18.7
1613011500.0,18.7
1613012400.0,18.7
1613013300.0,18.7
1613014200.0,18.7
1613015100.0,18.7
1613016000.0,18.7
1613016900.0,18.6
1613017800.0,18.6
1613018700.0,18.4
1613019600.0,18.4
1613020500.0,19.8
1613021400.0,19.6
1613022300.0,19.2
1613023200.0,19.0
1613024100.0,18.5
1613025000.0,18.3
1613025900.0,18.0
1613026800.0,17.3
1613027700.0,16.9
1613028600.0,16.9
1613029500.0,17.3
1613030400.0,17.7
1613031300.0,17.6
1613032200.0,17.3
1613033100.0,17.3
1613034000.0,17.3
1613034900.0,17.5
1613035800.0,17.5
1613036700.0,17.3
1613037600.0,17.4
1613038500.0,17.6
1613039400.0,17.8
1613040300.0,17.8
1613041200.0,17.5
1613042100.0,17.9
1613043000.0,17.9
1613043900.0,17.5
1613044800.0,17.4
1613045700.0,17.4
1613046600.0,17.2
1613047500.0,17.3
1613048400.0,17.6
1613049300.0,17.7
1613050200.0,17.8
1613051100.0,17.9
1613052000.0,17.9
1613052900.0,17.8
1613053800.0,18.0
1613054700.0,18.2
1613055600.0,18.2
1613056500.0,18.1
1613057400.0,18.0
1613058300.0,18.0
1613059200.0,18.0
1613060100.0,17.9
1613061000.0,17.9
1613061900.0,17.8
1613062800.0,17.7
1613063700.0,18.0
1613064600.0,17.7
1613065500.0,17.8
1613066400.0,17.7
1613067300.0,17.7
1613068200.0,17.7
1613069100.0,17.5
1613070000.0,17.6
1613070900.0,17.3
1613071800.0,17.3
1613072700.0,17.2
1613073600.0,17.1
1613074500.0,17.3
1613075400.0,17.6
1613076300.0,17.9
1613077200.0,17.6
1613078100.0,18.2
1613079000.0,17.9
1613079900.0,18.2
1613080800.0,17.9
1613081700.0,17.9
1613082600.0,18.3
1613083500.0,18.1
1613084400.0,18.6
1613085300.0,17.6
1613086200.0,17.6
1613087100.0,18.0
1613088000.0,18.2
1613088900.0,18.4
1613089800.0,18.4
1613090700.0,18.5
1613091600.0,18.6
1613092500.0,18.6
1613093400.0,18.6
1613094300.0,18.6
1613095200.0,18.6
1613096100.0,18.6
1613097000.0,18.6
1613097900.0,18.5
1613098800.0,18.5
1613099700.0,18.6
1613100600.0,18.6
1613101500.0,18.5
1613102400.0,18.5
1613103300.0,18.4
1613104200.0,18.3
1613105100.0,18.2
1613106000.0,18.0
1613106900.0,19.4
1613107800.0,19.6
1613108700.0,19.4
1613109600.0,19.2
1613110500.0,18.7
1613111400.0,18.3
1613112300.0,18.0
1613113200.0,17.7
1613114100.0,17.3
1613115000.0,17.3
1613115900.0,17.8
1613116800.0,17.9
1613117700.0,18.1
1613118600.0,17.8
1613119500.0,17.8
1613120400.0,17.7
1613121300.0,17.8
1613122200.0,17.8
1613123100.0,17.7
1613124000.0,17.6
1613124900.0,17.8
1613125800.0,17.9
1613126700.0,17.9
1613127600.0,18.0
1613128500.0,17.9
1613129400.0,17.3
1613130300.0,17.1
1613131200.0,17.2
1613132100.0,17.7
1613133000.0,18.1
1613133900.0,18.0
1613134800.0,18.3
1613135700.0,18.3
1613136600.0,18.2
1613137500.0,18.2
1613138400.0,18.3
1613139300.0,18.4
1613140200.0,18.3
1613141100.0,18.3
1613142000.0,18.4
1613142900.0,18.4
1613143800.0,18.3
1613144700.0,18.3
1613145600.0,18.4
1613146500.0,18.2
1613147400.0,18.2
1613148300.0,18.1
1613149200.0,17.9
1613150100.0,18.1
1613151000.0,17.6
1613151900.0,17.7
1613152800.0,17.7
1613153700.0,17.6
1613154600.0,17.5
1613155500.0,17.3
1613156400.0,17.6
1613157300.0,17.3
1613158200.0,17.3
1613159100.0,17.4
1613160000.0,17.1
1613160900.0,17.5
1613161800.0,17.4
1613162700.0,17.7
1613163600.0,18.0
1613164500.0,17.9
1613165400.0,17.7
1613166300.0,17.9
1613167200.0,18.0
1613168100.0,17.8
1613169000.0,17.7
1613169900.0,18.3
1613170800.0,18.3
1613171700.0,17.6
1613172600.0,17.7
1613173500.0,18.0
1613174400.0,18.0
1613175300.0,18.2
1613176200.0,18.2
1613177100.0,18.4
1613178000.0,18.4
1613178900.0,18.5
1613179800.0,18.5
1613180700.0,18.4
1613181600.0,18.5
1613182500.0,18.6
1613183400.0,18.6
1613184300.0,18.7
1613185200.0,18.6
1613186100.0,18.6
1613187000.0,18.5
1613187900.0,18.5
1613188800.0,18.5
1613189700.0,18.4
1613190600.0,18.4
1613191500.0,18.3
1613192400.0,18.8
1613193300.0,19.4
1613194200.0,19.4
1613195100.0,19.3
1613196000.0,19.3
1613196900.0,19.1
1613197800.0,19.0
1613198700.0,18.9
1613199600.0,18.7
1613200500.0,18.3
1613201400.0,18.0
1613202300.0,17.9
1613203200.0,17.3
1613204100.0,17.0
1613205000.0,16.5
1613205900.0,16.5
1613206800.0,16.5
1613207700.0,16.3
1613208600.0,16.5
1613209500.0,16.4
1613210400.0,16.4
1613211300.0,16.4
1613212200.0,16.5
1613213100.0,16.4
1613214000.0,16.6
