time,value
1608226200.0,19.5
1608227100.0,19.4
1608228000.0,19.4
1608228900.0,19.4
1608229800.0,19.2
1608230700.0,19.2
1608231600.0,19.4
1608232500.0,19
1608233400.0,19.2
1608234300.0,18.9
1608235200.0,19
1608236100.0,19.3
1608237000.0,19.3
1608237900.0,19.8
1608238800.0,19.5
1608239700.0,19.7
1608240600.0,19.5
1608241500.0,19.6
1608242400.0,19.5
1608243300.0,19.6
1608244200.0,19.7
1608245100.0,19.9
1608246000.0,19.8
1608246900.0,19.1
1608247800.0,19.3
1608248700.0,19.5
1608249600.0,19.6
1608250500.0,19.7
1608251400.0,19.8
1608252300.0,19.8
1608253200.0,19.9
1608254100.0,19.9
1608255000.0,19.9
1608255900.0,20
1608256800.0,20
1608257700.0,20
1608258600.0,20
1608259500.0,20
1608260400.0,20
1608261300.0,20
1608262200.0,20
1608263100.0,20
1608264000.0,20
1608264900.0,19.8
1608265800.0,19.7
1608266700.0,19.6
1608267600.0,19.7
1608268500.0,20.7
1608269400.0,20.6
1608270300.0,20.5
1608271200.0,20.6
1608272100.0,20.5
1608273000.0,20.4
1608273900.0,20.2
1608274800.0,20.1
1608275700.0,19.8
1608276600.0,19.6
1608277500.0,19.4
1608278400.0,19.3
1608279300.0,19.5
1608280200.0,19.4
1608281100.0,19.3
1608282000.0,19.1
1608282900.0,19.4
1608283800.0,19.2
1608284700.0,19.4
1608285600.0,19.2
1608286500.0,19.3
1608287400.0,19.3
1608288300.0,19.3
1608289200.0,19.5
1608290100.0,19.6
1608291000.0,19.6
1608291900.0,19.4
1608292800.0,19.5
1608293700.0,19.5
1608294600.0,19.5
1608295500.0,19.6
1608296400.0,19.6
1608297300.0,19.7
1608298200.0,19.7
1608299100.0,19.5
1608300000.0,19.5
1608300900.0,19.6
1608301800.0,19.7
1608302700.0,19.7
1608303600.0,19.8
1608304500.0,19.9
1608305400.0,19.6
1608306300.0,19.7
1608307200.0,19.8
1608308100.0,19.7
1608309000.0,19.9
1608309900.0,19.5
1608310800.0,19.2
1608311700.0,19.3
1608312600.0,19.2
1608313500.0,19.2
1608314400.0,19.2
1608315300.0,19.3
1608316200.0,19.1
1608317100.0,18.9
1608318000.0,18.8
1608318900.0,18.9
1608319800.0,18.7
1608320700.0,18.8
1608321600.0,18.6
1608322500.0,18.5
1608323400.0,18.6
1608324300.0,18.9
1608325200.0,18.7
1608326100.0,19.3
1608327000.0,18.9
1608327900.0,19
1608328800.0,19
1608329700.0,18.8
