timestamp,value
1643840503.0,289.0978
1643840532.0,292.6897
1643840563.0,295.3309
1643840592.0,297.6592
1643840622.0,299.5067
1643840653.0,301.311
1643840682.0,302.8268
1643840713.0,304.7632
1643840742.0,306.2498
1643840772.0,308.1295
1643840802.0,309.6109
1643840832.0,311.4318
1643840863.0,312.8905
1643840892.0,314.0695
1643840921.0,315.7098
1643840952.0,316.8737
1643840982.0,318.1113
1643841012.0,319.4502
1643841042.0,320.9206
1643841072.0,322.1385
1643841102.0,323.4734
1643841133.0,324.7217
1643841162.0,325.3846
1643841201.0,326.4857
1643841230.0,327.2305
1643841272.0,328.3407
1643841330.0,329.3206
1643841386.0,330.3931
1643841415.0,330.7649
1643841450.0,331.625
1643841490.0,332.6815
1643841520.0,333.3428
1643841566.0,334.4293
1643841596.0,335.0255
1643841630.0,335.808
1643841674.0,336.8586
1643841703.0,337.2564
1643841748.0,338.2587
1643841778.0,338.9297
1643841812.0,339.6755
1643841856.0,340.6903
1643841886.0,341.0246
1643841931.0,341.831
1643841972.0,342.9106
1643842002.0,343.507
1643842052.0,344.5464
1643842102.0,345.5859
1643842132.0,346.1936
1643842169.0,347.1218
1643842213.0,348.1651
1643842244.0,348.7808
1643842286.0,349.8765
1643842315.0,350.7202
1643842350.0,351.5382
1643842393.0,352.5941
1643842424.0,353.3918
1643842457.0,354.6071
1643842488.0,355.4626
1643842529.0,356.6696
1643842560.0,357.7752
1643842589.0,358.8145
1643842621.0,359.8462
1643842652.0,360.6939
1643842681.0,361.8983
1643842712.0,362.936
1643842745.0,364.1088
1643842776.0,365.0359
1643842805.0,366.0498
1643842836.0,366.9183
1643842867.0,367.9209
1643842898.0,368.9492
1643842927.0,370.1611
1643842958.0,357.6917
1643842988.0,352.5065
1643843017.0,350.12
1643843048.0,346.8535
1643843078.0,344.2638
1643843107.0,339.9361
1643843137.0,334.983
1643843168.0,332.1409
1643843197.0,328.0938
1643843227.0,323.6615
1643843258.0,317.419
1643843287.0,310.7595
1643843317.0,302.6557
1643843348.0,288.5502
1643843377.0,269.6422
1643843407.0,244.1084
1643843438.0,219.9878
1643843467.0,191.1181
1643843497.0,165.8853
1643843528.0,137.8139
1643843557.0,112.832
1643843587.0,113.3986
1643843617.0,118.4195
1643843647.0,125.202
1643843678.0,132.0928
1643843707.0,138.4815
1643843738.0,145.4478
1643843767.0,151.3022
1643843797.0,158.207
1643843828.0,164.1855
1643843857.0,171.2895
1643843888.0,176.974
1643843917.0,183.2191
1643843947.0,188.5678
1643843978.0,195.1025
1643844007.0,200.7994
1643844038.0,208.5427
1643844067.0,213.2628
1643844097.0,218.9608
1643844128.0,224.9109
1643844157.0,230.1655
1643844187.0,236.3372
1643844218.0,241.6503
1643844247.0,247.83
1643844278.0,252.9972
1643844307.0,258.3502
1643844338.0,263.1313
1643844367.0,268.5719
1643844397.0,273.62
1643844428.0,278.7511
1643844457.0,283.6676
1643844488.0,288.0508
1643844517.0,292.41
1643844548.0,294.2509
1643844578.0,296.4053
1643844607.0,297.5644
1643844638.0,299.0663
1643844667.0,300.3966
1643844697.0,302.1613
1643844728.0,303.6068
1643844757.0,305.1014
1643844787.0,306.4752
1643844818.0,308.0104
1643844847.0,309.5378
1643844878.0,311.0764
1643844907.0,312.2746
1643844937.0,313.3934
1643844968.0,314.8319
1643844997.0,315.9981
