timestamp,test_value
2020-07-02 21:39:16,472.1
2020-07-02 10:00:40,474.58
2020-07-02 09:59:47,474.03
2020-07-02 06:53:56,472.67
2020-07-02 06:45:16,473.98
2020-07-02 21:43:31,473.13
2020-07-02 06:45:55,474.12
2020-07-02 21:45:22,473.47
2020-07-02 06:49:09,473.31
2020-07-02 06:48:30,473.09
2020-07-02 21:44:13,472.96
2020-07-02 06:47:51,473.16
2020-07-02 06:40:34,472.38
2020-07-02 21:47:45,472.71
2020-07-02 06:40:34,474.66
2020-07-02 21:47:45,474.0
2020-07-02 21:46:45,474.61
2020-07-02 06:51:09,473.43
2020-07-02 21:46:45,473.03
2020-07-02 06:52:02,473.16
2020-07-02 21:46:04,474.24
2020-07-02 06:51:09,474.49
2020-07-02 06:52:02,474.63
2020-07-02 21:41:15,474.92
2020-07-02 12:33:00,473.88
2020-07-02 09:51:14,474.9
2020-07-02 09:58:28,475.31
2020-07-02 06:50:28,472.67
2020-07-02 21:48:30,474.24
2020-07-02 12:37:22,473.06
2020-07-02 12:34:25,473.09
2020-07-02 05:03:45,473.81
2020-07-02 05:14:08,473.09
2020-07-02 12:38:30,472.87
2020-07-02 05:11:40,474.34
2020-07-02 12:34:25,474.1
2020-07-02 12:39:08,472.7
2020-07-02 05:11:40,473.24
2020-07-02 12:39:46,474.29
2020-07-02 12:38:30,474.34
2020-07-02 05:03:45,473.14
2020-07-02 12:39:08,474.51
2020-07-02 05:14:08,474.8
2020-07-02 09:32:32,472.72
2020-07-02 09:29:56,475.29
2020-07-02 05:12:37,474.03
2020-07-02 09:37:09,472.89
2020-07-02 05:12:37,472.28
2020-07-02 05:15:51,473.33
2020-07-02 09:41:46,474.75
2020-07-02 05:14:53,474.17
2020-07-02 05:16:49,474.56
2020-07-02 13:41:26,474.15
2020-07-02 12:41:18,474.44
2020-07-02 12:44:56,472.79
2020-07-02 12:47:49,474.58
2020-07-02 09:09:33,474.49
2020-07-02 05:05:13,474.51
2020-07-02 05:42:46,474.88
2020-07-02 05:14:53,473.75
2020-07-02 04:59:32,474.24
2020-07-02 12:41:56,472.99
2020-07-02 05:16:49,473.11
2020-07-02 12:49:04,473.98
2020-07-02 12:41:56,474.32
2020-07-02 12:42:34,474.68
2020-07-02 12:41:18,472.4
2020-07-02 09:11:04,474.39
2020-07-02 17:12:11,473.52
2020-07-02 05:15:51,474.29
2020-07-02 09:29:56,474.0
2020-07-02 09:32:32,475.48
2020-07-02 09:36:26,473.16
2020-07-02 12:43:14,473.16
2020-07-02 13:39:00,472.43
2020-07-02 10:52:18,472.4
2020-07-02 13:39:00,472.43
2020-07-02 10:52:18,472.4
2020-07-02 12:45:43,474.3
2020-07-02 12:44:14,474.61
2020-07-02 12:42:34,473.31
2020-07-02 12:40:24,474.37
2020-07-02 12:43:14,474.37
2020-07-02 12:33:00,473.78
2020-07-02 09:03:07,474.92
2020-07-02 12:46:22,474.44
2020-07-02 12:45:43,474.12
2020-07-02 12:47:49,473.21
2020-07-02 09:03:46,474.8
2020-07-02 09:01:06,474.37
2020-07-02 09:03:07,473.31
2020-07-02 09:03:46,473.56
2020-07-02 12:44:14,473.8
2020-07-02 12:48:26,474.24
2020-07-02 12:44:56,474.61
2020-07-02 09:01:48,473.43
2020-07-02 09:44:31,473.04
2020-07-02 12:47:01,474.56
2020-07-02 12:46:22,472.67
2020-07-02 12:47:01,473.24
2020-07-02 12:36:36,472.55
2020-07-02 12:39:46,473.14
2020-07-02 09:13:43,473.97
2020-07-02 09:07:18,474.73
2020-07-02 12:48:26,473.19
2020-07-02 09:13:43,475.39
2020-07-02 12:40:24,473.01
2020-07-02 09:04:25,474.22
2020-07-02 09:06:38,472.57
2020-07-02 09:05:48,473.7
2020-07-02 09:07:18,472.87
2020-07-02 04:22:43,474.49
2020-07-02 09:41:05,474.78
2020-07-02 09:37:09,474.78
2020-07-02 09:36:26,475.0
2020-07-02 09:42:27,474.32
2020-07-02 09:06:38,474.27
2020-07-02 09:41:05,472.4
2020-07-02 08:59:48,473.11
2020-07-02 09:41:46,473.29
2020-07-02 09:08:39,474.9
2020-07-02 09:07:57,472.25
2020-07-02 12:35:39,473.29
2020-07-02 08:59:48,473.95
2020-07-02 09:07:57,474.1
2020-07-02 09:00:27,474.68
2020-07-02 09:00:27,473.53
2020-07-02 12:57:16,473.16
2020-07-02 09:09:33,472.74
2020-07-02 09:01:48,474.61
2020-07-02 09:10:11,474.37
2020-07-02 09:11:44,473.65
2020-07-02 09:13:04,475.22
2020-07-02 12:52:33,474.29
2020-07-02 09:12:23,474.54
2020-07-02 12:54:44,475.46
2020-07-02 04:19:14,474.71
2020-07-02 13:00:35,473.81
2020-07-02 12:59:19,473.83
2020-07-02 12:53:49,475.09
2020-07-02 09:05:06,474.49
2020-07-02 09:10:11,473.01
2020-07-02 12:53:10,472.92
2020-07-02 12:57:56,473.21
2020-07-02 12:58:35,472.65
2020-07-02 12:58:35,474.63
2020-07-02 04:18:26,472.79
2020-07-02 09:13:04,473.95
2020-07-02 12:55:22,474.22
2020-07-02 09:11:44,475.14
2020-07-02 09:04:25,472.77
2020-07-02 12:59:19,475.24
2020-07-02 09:11:04,473.16
2020-07-02 09:05:06,473.65
2020-07-02 05:43:43,474.44
2020-07-02 05:05:13,472.99
2020-07-02 05:21:08,473.83
2020-07-02 05:03:06,473.24
2020-07-02 05:33:21,472.87
2020-07-02 05:33:21,474.32
2020-07-02 05:01:41,473.81
2020-07-02 05:08:13,473.26
2020-07-02 05:21:08,474.66
2020-07-02 05:42:46,472.62
2020-07-02 05:41:50,473.93
2020-07-02 05:42:46,472.62
2020-07-02 05:41:50,473.93
2020-07-02 05:41:50,473.31
2020-07-02 05:02:24,474.63
2020-07-02 05:00:13,474.68
2020-07-02 05:34:19,473.16
2020-07-02 05:07:28,473.09
2020-07-02 05:34:19,474.44
2020-07-02 05:03:06,474.22
2020-07-02 05:00:57,474.32
2020-07-02 05:04:31,474.73
2020-07-02 05:41:02,472.99
2020-07-02 05:29:01,473.58
2020-07-02 05:17:38,475.0
2020-07-02 04:58:11,472.79
2020-07-02 05:09:19,474.05
2020-07-02 05:10:22,473.31
2020-07-02 05:09:19,473.41
2020-07-02 05:02:24,473.21
2020-07-02 05:41:02,474.78
2020-07-02 04:58:11,474.22
2020-07-02 05:06:10,474.56
2020-07-02 05:07:28,474.22
2020-07-02 05:08:13,474.63
2020-07-02 05:10:22,475.12
2020-07-02 05:17:38,472.89
2020-07-02 05:00:57,473.06
2020-07-02 05:00:13,474.05
2020-07-02 16:46:53,472.17
2020-07-02 16:41:29,474.85
2020-07-02 12:59:57,472.28
2020-07-02 13:00:35,473.29
2020-07-02 13:02:43,473.41
2020-07-02 12:53:10,474.12
2020-07-02 13:02:06,475.63
2020-07-02 16:48:11,472.76
2020-07-02 16:39:04,472.64
2020-07-02 16:46:53,474.15
2020-07-02 16:48:52,473.25
2020-07-02 16:40:20,474.1
2020-07-02 21:01:51,475.14
2020-07-02 17:06:38,472.61
2020-07-02 05:19:17,474.37
2020-07-02 17:08:40,474.49
2020-07-02 17:04:52,472.32
2020-07-02 17:07:24,474.56
2020-07-02 12:57:16,475.0
2020-07-02 12:49:40,474.15
2020-07-02 12:49:04,473.65
2020-07-02 16:43:50,474.37
2020-07-02 16:42:09,472.66
2020-07-02 16:47:32,472.56
2020-07-02 16:47:32,475.19
2020-07-02 16:54:08,472.98
2020-07-02 16:39:04,474.58
2020-07-02 16:42:54,473.66
2020-07-02 16:44:56,473.3
2020-07-02 12:57:56,474.83
2020-07-02 16:39:42,472.96
2020-07-02 16:42:09,474.03
2020-07-02 16:45:33,472.15
2020-07-02 05:06:10,472.7
2020-07-02 05:04:31,472.52
2020-07-02 16:44:56,474.8
2020-07-02 16:50:16,474.85
2020-07-02 16:48:11,474.92
2020-07-02 16:40:20,472.74
2020-07-02 16:48:52,474.32
2020-07-02 16:45:33,474.2
2020-07-02 16:46:14,474.06
2020-07-02 16:49:29,472.96
2020-07-02 16:50:16,472.32
2020-07-02 16:49:29,474.49
2020-07-02 13:01:28,474.1
2020-07-02 12:59:57,474.83
2020-07-02 16:51:13,473.3
2020-07-02 16:38:23,474.68
2020-07-02 16:39:42,474.44
2020-07-02 16:51:13,475.09
2020-07-02 09:02:26,475.07
2020-07-02 10:00:40,473.78
2020-07-02 12:26:04,474.05
2020-07-02 12:21:41,472.79
2020-07-02 21:27:30,475.29
2020-07-02 09:49:58,474.34
2020-07-02 20:10:13,474.34
2020-07-02 08:13:40,473.04
2020-07-02 20:16:14,474.68
2020-07-02 09:12:23,472.5
2020-07-02 08:28:55,473.41
2020-07-02 09:31:49,472.67
2020-07-02 21:01:51,472.2
2020-07-02 08:34:51,473.74
2020-07-02 08:25:28,473.29
2020-07-02 20:09:31,472.81
2020-07-02 18:05:43,473.4
2020-07-02 21:03:24,473.65
2020-07-02 12:54:44,473.36
2020-07-02 07:17:21,472.67
2020-07-02 18:04:58,472.74
2020-07-02 18:04:58,474.37
2020-07-02 21:59:52,474.92
2020-07-02 17:15:58,472.93
2020-07-02 17:09:19,473.03
2020-07-02 16:53:29,473.01
2020-07-02 13:52:23,475.26
2020-07-02 16:51:53,473.2
2020-07-02 16:52:35,474.85
2020-07-02 16:41:29,473.55
2020-07-02 16:42:54,472.49
2020-07-02 16:52:35,472.91
2020-07-02 17:09:19,474.41
2020-07-02 16:51:53,474.71
2020-07-02 17:01:32,473.52
2020-07-02 17:01:32,474.32
2020-07-02 16:59:58,473.93
2020-07-02 17:05:59,473.86
2020-07-02 17:00:53,475.09
2020-07-02 16:57:58,473.62
2020-07-02 16:58:38,472.91
2020-07-02 16:57:18,472.29
2020-07-02 17:03:04,474.08
2020-07-02 17:02:25,474.44
2020-07-02 17:03:04,472.71
2020-07-02 16:57:58,474.27
2020-07-02 17:04:12,472.61
2020-07-02 05:20:07,474.22
2020-07-02 16:15:45,474.41
2020-07-02 05:20:07,473.36
2020-07-02 16:06:05,474.56
2020-07-02 05:27:33,474.22
2020-07-02 17:04:12,474.66
2020-07-02 05:27:33,473.48
2020-07-02 16:58:38,474.49
2020-07-02 16:59:20,472.34
2020-07-02 17:08:02,474.58
2020-07-02 16:55:57,474.34
2020-07-02 16:56:36,474.63
2020-07-02 05:18:18,474.88
2020-07-02 16:59:58,473.45
2020-07-02 17:08:40,473.84
2020-07-02 17:04:52,474.29
2020-07-02 16:57:18,475.07
2020-07-02 04:17:39,473.68
2020-07-02 17:00:53,473.28
2020-07-02 16:56:36,473.28
2020-07-02 17:06:38,474.27
2020-07-02 16:43:50,472.54
2020-07-02 17:08:02,472.91
2020-07-02 16:53:29,474.46
2020-07-02 16:55:57,473.2
2020-07-02 16:06:44,475.56
2020-07-02 16:02:24,475.02
2020-07-02 16:55:17,472.39
2020-07-02 17:07:24,472.25
2020-07-02 17:09:57,472.56
2020-07-02 16:07:24,474.03
2020-07-02 05:29:46,474.15
2020-07-02 16:00:41,475.14
2020-07-02 16:16:26,472.81
2020-07-02 05:35:29,472.5
2020-07-02 05:38:40,474.37
2020-07-02 05:46:29,475.07
2020-07-02 05:50:32,473.81
2020-07-02 16:06:44,472.91
2020-07-02 16:54:08,474.85
2020-07-02 17:05:59,472.49
2020-07-02 16:55:17,474.44
2020-07-02 05:01:41,472.3
2020-07-02 12:11:38,474.54
2020-07-02 21:44:13,475.31
2020-07-02 06:48:30,474.0
2020-07-02 12:12:36,475.0
2020-07-02 09:08:39,472.94
2020-07-02 09:01:06,473.97
2020-07-02 05:25:21,472.97
2020-07-02 05:23:28,473.43
2020-07-02 09:02:26,474.47
2020-07-02 05:25:21,474.32
2020-07-02 16:01:31,474.24
2020-07-02 05:26:38,473.46
2020-07-02 05:23:28,474.49
2020-07-02 16:17:39,472.64
2020-07-02 05:26:38,474.97
2020-07-02 16:18:18,472.66
2020-07-02 16:07:24,473.5
2020-07-02 16:02:24,473.42
2020-07-02 05:38:40,473.01
2020-07-02 05:22:01,474.17
2020-07-02 05:29:01,474.46
2020-07-02 05:37:45,474.9
2020-07-02 05:22:01,474.9
2020-07-02 05:37:45,472.57
2020-07-02 05:29:46,472.72
2020-07-02 05:24:28,473.11
2020-07-02 05:35:29,474.56
2020-07-02 05:18:18,472.89
2020-07-02 05:24:28,474.46
2020-07-02 05:19:17,473.53
2020-07-02 05:53:22,473.04
2020-07-02 05:54:30,472.16
2020-07-02 05:51:14,474.37
2020-07-02 05:46:29,472.99
2020-07-02 05:51:55,474.56
2020-07-02 05:55:40,474.66
2020-07-02 05:45:41,473.06
2020-07-02 16:01:31,472.98
2020-07-02 05:51:55,473.14
2020-07-02 05:45:41,474.83
2020-07-02 21:06:20,472.86
2020-07-02 18:14:04,474.85
2020-07-02 21:05:02,473.08
2020-07-02 18:12:06,474.97
2020-07-02 18:15:27,474.92
2020-07-02 18:16:09,474.78
2020-07-02 18:16:09,472.52
2020-07-02 18:17:30,475.36
2020-07-02 18:17:30,472.2
2020-07-02 18:09:31,474.56
2020-07-02 18:09:31,473.45
2020-07-02 21:07:00,474.51
2020-07-02 17:51:05,475.58
2020-07-02 18:15:27,472.93
2020-07-02 21:06:20,474.63
2020-07-02 18:14:44,473.47
2020-07-02 21:05:40,473.42
2020-07-02 18:16:50,472.64
2020-07-02 18:08:52,472.44
2020-07-02 21:05:02,474.88
2020-07-02 21:05:40,474.75
2020-07-02 18:13:25,472.59
2020-07-02 18:16:50,474.37
2020-07-02 11:36:48,473.41
2020-07-02 18:10:10,472.93
2020-07-02 21:04:07,473.01
2020-07-02 21:07:00,473.1
2020-07-02 17:47:57,473.91
2020-07-02 17:47:57,472.34
2020-07-02 17:50:26,473.42
2020-07-02 18:08:52,474.75
2020-07-02 17:47:19,472.34
2020-07-02 17:47:19,474.54
2020-07-02 17:48:38,472.98
2020-07-02 17:49:17,473.47
2020-07-02 17:50:26,474.46
2020-07-02 17:49:17,475.26
2020-07-02 11:36:48,474.03
2020-07-02 04:19:55,474.83
2020-07-02 16:08:47,473.28
2020-07-02 07:39:33,474.08
2020-07-02 07:41:04,473.24
2020-07-02 04:12:10,474.12
2020-07-02 18:13:25,475.26
2020-07-02 16:08:47,474.51
2020-07-02 18:14:04,472.49
2020-07-02 11:34:17,473.88
2020-07-02 11:34:54,474.63
2020-07-02 11:34:17,474.05
2020-07-02 06:01:28,474.22
2020-07-02 11:34:54,473.63
2020-07-02 11:33:37,474.27
2020-07-02 04:18:26,474.12
2020-07-02 04:16:40,475.29
2020-07-02 17:51:05,473.69
2020-07-02 16:08:04,474.1
2020-07-02 16:18:18,474.85
2020-07-02 16:04:45,472.78
2020-07-02 16:04:05,472.49
2020-07-02 04:13:02,474.71
2020-07-02 16:15:05,473.42
2020-07-02 16:15:45,472.76
2020-07-02 04:38:53,474.15
2020-07-02 16:20:18,474.2
2020-07-02 16:15:05,475.63
2020-07-02 05:53:22,474.58
2020-07-02 16:20:18,472.93
2020-07-02 05:51:14,473.19
2020-07-02 16:03:25,474.0
2020-07-02 16:17:39,474.51
2020-07-02 16:04:45,474.24
2020-07-02 16:03:25,472.78
2020-07-02 16:04:05,474.15
2020-07-02 16:18:56,475.0
2020-07-02 04:57:25,475.0
2020-07-02 04:21:59,474.66
2020-07-02 16:05:25,474.34
2020-07-02 16:19:37,472.71
2020-07-02 16:20:57,472.52
2020-07-02 16:06:05,472.86
2020-07-02 04:21:59,472.43
2020-07-02 16:08:04,473.08
2020-07-02 04:57:25,473.78
2020-07-02 04:20:56,473.53
2020-07-02 04:14:06,473.33
2020-07-02 04:13:02,473.48
2020-07-02 04:41:18,474.75
2020-07-02 05:55:40,473.43
2020-07-02 04:30:27,473.24
2020-07-02 05:43:43,473.41
2020-07-02 08:22:15,473.36
2020-07-02 04:44:41,472.74
2020-07-02 05:50:32,473.56
2020-07-02 06:01:28,472.97
2020-07-02 05:59:54,472.92
2020-07-02 06:01:28,472.97
2020-07-02 05:59:54,472.92
2020-07-02 04:14:06,475.02
2020-07-02 05:44:52,474.71
2020-07-02 04:37:54,473.95
2020-07-02 04:12:10,473.21
2020-07-02 04:11:25,473.09
2020-07-02 07:35:57,474.08
2020-07-02 07:36:39,473.06
2020-07-02 04:30:27,474.49
2020-07-02 08:23:13,474.39
2020-07-02 07:40:12,474.32
2020-07-02 07:39:33,473.61
2020-07-02 08:21:03,474.92
2020-07-02 08:24:09,475.0
2020-07-02 07:38:17,474.68
2020-07-02 07:44:01,472.55
2020-07-02 07:50:57,474.92
2020-07-02 07:41:04,473.95
2020-07-02 07:44:54,474.88
2020-07-02 07:44:01,475.17
2020-07-02 07:38:17,473.31
2020-07-02 07:42:53,475.29
2020-07-02 07:38:55,472.97
2020-07-02 07:36:39,474.37
2020-07-02 07:50:19,472.84
2020-07-02 07:37:18,473.73
2020-07-02 07:37:18,474.66
2020-07-02 07:35:57,472.77
2020-07-02 07:42:12,473.43
2020-07-02 07:35:19,474.58
2020-07-02 07:45:48,473.21
2020-07-02 07:38:55,473.91
2020-07-02 04:20:56,474.29
2020-07-02 04:15:57,473.93
2020-07-02 07:42:53,473.88
2020-07-02 04:44:41,473.76
2020-07-02 04:15:15,474.0
2020-07-02 04:19:14,473.58
2020-07-02 04:17:39,474.75
2020-07-02 04:16:40,473.41
2020-07-02 04:37:54,474.54
2020-07-02 04:39:49,474.56
2020-07-02 16:05:25,473.42
2020-07-02 07:50:57,473.01
